city,country,x3 (McMeal),x9 (milk),x10 (bread),x11 (rice),x12 (eggs),x13 (cheese local),x14 (chicken fillets),x15 (beef round),x16 (apples),x17 (bananas),x18 (oranges),x19 (tomatoes),x20 (potatoes),x21 (onions),x22 (lettuce),x23 (water 1.5L),x28 (One-Way ticket transit),x29 (monthly pass transit),x30 (taxi start),x31 (taxi 1km),x32 (Taxi 1hr wait),x33 (Gas 1L),x34 (Volkswagen Golf),x35 (Toyota Corolla Sedan),x36 (basic utilities),x48 (apartment 1BR city center),x49 (apartment 1BR outside center),x50 (apartment 3BR city center),x51 (apartment 3BR outside center),x52 (price per sqm city center),x53 (price per sqm outside center),x54 (average monthly net salary),data_quality,NaN_tot,food_index,housing_index,transport_index,avg_transit_cost,x31b (taxi 8km),avg_taxi_cost,avg_personal_cost
Seoul,South Korea,6.15,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,1.0,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,1,0,159.9475717439294,293.13605652747935,140.83713605274025,21.625,7.36,6.5,19011.51
Shanghai,China,5.69,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,0.57,28.47,2.14,0.43,8.54,1.2,19929.68,20750.95,66.0,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,1,0,85.18211920529802,251.58222866907823,100.45686904583937,14.52,3.44,4.706666666666666,13560.61
Guangzhou,China,4.98,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,0.36,28.47,1.71,0.37,6.26,1.19,21353.23,21381.7,59.65,533.28,317.45,1242.24,688.05,12892.82,5427.45,1211.68,1,0,62.23785871964681,159.3709495330172,105.51723644551936,14.415,2.96,3.643333333333333,14245.373333333331
Mumbai,India,3.68,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,1,0,39.73509933774835,89.17824427107223,86.54017413321927,2.58,2.48,1.3399999999999999,11691.196666666665
Delhi,India,4.3,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,1,0,37.665562913907294,36.88008320661797,86.92814278785835,6.08,1.76,1.2,11741.216666666667
Dhaka,Bangladesh,4.88,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,0.41,18.53,0.98,0.39,2.93,1.1,39017.69,29006.57,37.06,142.09,87.79,347.57,208.5,1119.98,571.72,280.73,1,0,46.73013245033114,18.939221060131242,167.86878484181528,9.47,3.12,2.3433333333333333,22675.12
Osaka,Japan,5.36,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,1.8,88.81,4.95,2.98,29.53,1.24,22707.81,15765.18,128.77,674.96,376.14,1737.21,993.17,8043.38,4825.58,2322.46,1,0,109.71302428256071,126.37050292254963,95.22784000110518,45.305,23.84,19.44,12824.743333333334
Jakarta,Indonesia,3.57,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,1,0,55.9878587196468,49.16458235896185,133.49476697458456,5.785,2.32,1.8933333333333333,18033.086666666666
Shenzhen,China,4.98,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,0.57,35.59,1.42,0.37,6.83,1.19,21936.88,20317.59,67.63,738.75,435.07,1682.3,886.16,17898.73,8091.57,1572.22,1,0,78.24227373068435,224.4365214391853,104.35076491028641,18.080000000000002,2.96,3.736666666666667,14085.220000000001
Bangkok,Thailand,5.76,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,1,0,78.8907284768212,90.96822588698873,206.9288927240891,19.355,9.44,5.21,27945.41
